Subject,Abund,Treat,Time,Individual,OTU_name
570.T1,6.86200507788376E-05,Placebo,1,1,Akkermansia
571.T1,9.09173561232839E-05,Placebo,1,2,Akkermansia
572.T1,7.6575541771958E-05,Placebo,1,3,Akkermansia
573.T1,2.38271104863113E-05,Placebo,1,4,Akkermansia
574.T1,9.22736220472441E-05,Placebo,1,5,Akkermansia
575.T1,5.40832882639264E-05,Placebo,1,6,Akkermansia
576.T1,7.54603078780561E-05,Placebo,1,7,Akkermansia
577.T1,7.21101843617047E-05,Placebo,1,8,Akkermansia
578.T1,0,Letrozole,1,9,Akkermansia
580.T1,0.000856482142347,Letrozole,1,10,Akkermansia
581.T1,0.004510013759364,Letrozole,1,11,Akkermansia
582.T1,0.000135342416313,Letrozole,1,12,Akkermansia
583.T1,2.74130321554867E-05,Letrozole,1,13,Akkermansia
584.T1,4.73989809219102E-05,Letrozole,1,14,Akkermansia
585.T1,0.000162846557831,Letrozole,1,15,Akkermansia
586.T1,0,Letrozole,1,16,Akkermansia
570.T2,3.27718424329816E-05,Placebo,2,1,Akkermansia
571.T2,7.55401117993655E-05,Placebo,2,2,Akkermansia
572.T2,0.000161160354553,Placebo,2,3,Akkermansia
573.T2,4.50004500045E-05,Placebo,2,4,Akkermansia
574.T2,0.000495724377246,Placebo,2,5,Akkermansia
575.T2,0.000586801480545,Placebo,2,6,Akkermansia
576.T2,0.000358271178712,Placebo,2,7,Akkermansia
577.T2,0.000103273778788,Placebo,2,8,Akkermansia
578.T2,7.44768004766515E-05,Letrozole,2,9,Akkermansia
580.T2,0.000997464777025,Letrozole,2,10,Akkermansia
581.T2,0.000760828215858,Letrozole,2,11,Akkermansia
582.T2,0.003425381655178,Letrozole,2,12,Akkermansia
583.T2,0.001257534365379,Letrozole,2,13,Akkermansia
584.T2,0.001801173668003,Letrozole,2,14,Akkermansia
585.T2,0.000175654312313,Letrozole,2,15,Akkermansia
586.T2,0.012565625268956,Letrozole,2,16,Akkermansia
570.T3,4.84742722799874E-05,Placebo,3,1,Akkermansia
571.T3,6.62317448753187E-05,Placebo,3,2,Akkermansia
572.T3,0.000796495420151,Placebo,3,3,Akkermansia
573.T3,0.000724733166425,Placebo,3,4,Akkermansia
574.T3,0.000117140598003,Placebo,3,5,Akkermansia
575.T3,0.000296306051228,Placebo,3,6,Akkermansia
576.T3,6.89156128320871E-05,Placebo,3,7,Akkermansia
577.T3,0.000191850203361,Placebo,3,8,Akkermansia
578.T3,0.000117921747129,Letrozole,3,9,Akkermansia
580.T3,0.002377937679503,Letrozole,3,10,Akkermansia
581.T3,0.001161119097645,Letrozole,3,11,Akkermansia
582.T3,0.000777499830978,Letrozole,3,12,Akkermansia
583.T3,0.000533749384135,Letrozole,3,13,Akkermansia
584.T3,0.012122823341752,Letrozole,3,14,Akkermansia
585.T3,0.001902065731853,Letrozole,3,15,Akkermansia
586.T3,0.010051341384048,Letrozole,3,16,Akkermansia
570.T4,0,Placebo,4,1,Akkermansia
571.T4,0.000211221122112,Placebo,4,2,Akkermansia
572.T4,0.0006826604252,Placebo,4,3,Akkermansia
573.T4,0.000415992604576,Placebo,4,4,Akkermansia
574.T4,0,Placebo,4,5,Akkermansia
575.T4,4.77076475359E-05,Placebo,4,6,Akkermansia
576.T4,0,Placebo,4,7,Akkermansia
577.T4,0,Placebo,4,8,Akkermansia
578.T4,0,Letrozole,4,9,Akkermansia
581.T4,0.001609417390905,Letrozole,4,11,Akkermansia
582.T4,0.000386295426856,Letrozole,4,12,Akkermansia
583.T4,5.10607878679568E-05,Letrozole,4,13,Akkermansia
584.T4,0.000263268744735,Letrozole,4,14,Akkermansia
585.T4,0.003828296815183,Letrozole,4,15,Akkermansia
586.T4,0.003110753553231,Letrozole,4,16,Akkermansia
570.T5,0.000136236069862,Placebo,5,1,Akkermansia
571.T5,0.000168164128189,Placebo,5,2,Akkermansia
572.T5,0.00014878738283,Placebo,5,3,Akkermansia
573.T5,0.000931805632247,Placebo,5,4,Akkermansia
574.T5,4.04301770841756E-05,Placebo,5,5,Akkermansia
575.T5,7.66361824962959E-05,Placebo,5,6,Akkermansia
576.T5,2.95980583673711E-05,Placebo,5,7,Akkermansia
577.T5,7.57996866946283E-05,Placebo,5,8,Akkermansia
578.T5,3.11235605353252E-05,Letrozole,5,9,Akkermansia
580.T5,0.005921766621054,Letrozole,5,10,Akkermansia
581.T5,0.001438417740485,Letrozole,5,11,Akkermansia
582.T5,0.001994861719813,Letrozole,5,12,Akkermansia
583.T5,0.009349470499244,Letrozole,5,13,Akkermansia
584.T5,0.000235349493999,Letrozole,5,14,Akkermansia
585.T5,5.0842718051707E-05,Letrozole,5,15,Akkermansia
586.T5,0.002720548643977,Letrozole,5,16,Akkermansia
570.T1,0.010293007616826,Placebo,1,1,Bifidobacterium
571.T1,0.003788223171804,Placebo,1,2,Bifidobacterium
572.T1,0.002067539627843,Placebo,1,3,Bifidobacterium
573.T1,0.022945507398318,Placebo,1,4,Bifidobacterium
574.T1,0.014948326771654,Placebo,1,5,Bifidobacterium
575.T1,0.010519199567334,Placebo,1,6,Bifidobacterium
576.T1,0.005470872321159,Placebo,1,7,Bifidobacterium
577.T1,0.000480734562411,Placebo,1,8,Bifidobacterium
578.T1,0.020172147428824,Letrozole,1,9,Bifidobacterium
580.T1,0.006252319639136,Letrozole,1,10,Bifidobacterium
581.T1,0.005197981959945,Letrozole,1,11,Bifidobacterium
582.T1,0.003699359379229,Letrozole,1,12,Bifidobacterium
583.T1,0.003125085665725,Letrozole,1,13,Bifidobacterium
584.T1,0.017964213769404,Letrozole,1,14,Bifidobacterium
585.T1,0.018198102837601,Letrozole,1,15,Bifidobacterium
586.T1,0.005746352413019,Letrozole,1,16,Bifidobacterium
570.T2,0.014059120403749,Placebo,2,1,Bifidobacterium
571.T2,0.004456866596163,Placebo,2,2,Bifidobacterium
572.T2,0.00795057749127,Placebo,2,3,Bifidobacterium
573.T2,0.011025110251103,Placebo,2,4,Bifidobacterium
574.T2,0.03129260131367,Placebo,2,5,Bifidobacterium
575.T2,0.003520808883272,Placebo,2,6,Bifidobacterium
576.T2,0.000814252678891,Placebo,2,7,Bifidobacterium
577.T2,0.000103273778788,Placebo,2,8,Bifidobacterium
578.T2,0.033551798614732,Letrozole,2,9,Bifidobacterium
580.T2,0.003740492913844,Letrozole,2,10,Bifidobacterium
581.T2,0.003097657735993,Letrozole,2,11,Bifidobacterium
582.T2,0.027529919228655,Letrozole,2,12,Bifidobacterium
583.T2,0.013702788257231,Letrozole,2,13,Bifidobacterium
584.T2,0.011213758642729,Letrozole,2,14,Bifidobacterium
585.T2,0.006499209555595,Letrozole,2,15,Bifidobacterium
586.T2,0.021860745330924,Letrozole,2,16,Bifidobacterium
570.T3,0.012845682154197,Placebo,3,1,Bifidobacterium
571.T3,0.011391860118555,Placebo,3,2,Bifidobacterium
572.T3,0.006770211071286,Placebo,3,3,Bifidobacterium
573.T3,0.019600737910133,Placebo,3,4,Bifidobacterium
574.T3,0.023779541394559,Placebo,3,5,Bifidobacterium
575.T3,0.003489826825575,Placebo,3,6,Bifidobacterium
576.T3,0.00130939664381,Placebo,3,7,Bifidobacterium
577.T3,0.003069603253779,Placebo,3,8,Bifidobacterium
578.T3,0.005754581259876,Letrozole,3,9,Bifidobacterium
580.T3,0.017047033754362,Letrozole,3,10,Bifidobacterium
581.T3,0.000608205241623,Letrozole,3,11,Bifidobacterium
582.T3,0.008451085119329,Letrozole,3,12,Bifidobacterium
583.T3,0.013590080472984,Letrozole,3,13,Bifidobacterium
584.T3,0.002844609863087,Letrozole,3,14,Bifidobacterium
585.T3,0.001017383996107,Letrozole,3,15,Bifidobacterium
586.T3,0.001952418829995,Letrozole,3,16,Bifidobacterium
570.T4,0.002114164904863,Placebo,4,1,Bifidobacterium
571.T4,0.008105610561056,Placebo,4,2,Bifidobacterium
572.T4,0.012677979325142,Placebo,4,3,Bifidobacterium
573.T4,0.013912641553039,Placebo,4,4,Bifidobacterium
574.T4,0.006717636579572,Placebo,4,5,Bifidobacterium
575.T4,0.00582033299938,Placebo,4,6,Bifidobacterium
576.T4,0.000371986067431,Placebo,4,7,Bifidobacterium
577.T4,0.001600660918056,Placebo,4,8,Bifidobacterium
578.T4,0.015431763940117,Letrozole,4,9,Bifidobacterium
581.T4,0.011587805214512,Letrozole,4,11,Bifidobacterium
582.T4,0.001248031379075,Letrozole,4,12,Bifidobacterium
583.T4,0.001353110878501,Letrozole,4,13,Bifidobacterium
584.T4,0.000315922493682,Letrozole,4,14,Bifidobacterium
585.T4,0.000407265618636,Letrozole,4,15,Bifidobacterium
586.T4,0.002252614641995,Letrozole,4,16,Bifidobacterium
570.T5,0.004850004087082,Placebo,5,1,Bifidobacterium
571.T5,0.008600393984529,Placebo,5,2,Bifidobacterium
572.T5,0.005313835101069,Placebo,5,3,Bifidobacterium
573.T5,0.004244892324683,Placebo,5,4,Bifidobacterium
574.T5,0.006468828333468,Placebo,5,5,Bifidobacterium
575.T5,0.014535329280131,Placebo,5,6,Bifidobacterium
576.T5,0.00056236310898,Placebo,5,7,Bifidobacterium
577.T5,0.000277932184547,Placebo,5,8,Bifidobacterium
578.T5,0.004450669156552,Letrozole,5,9,Bifidobacterium
580.T5,0.003302977398198,Letrozole,5,10,Bifidobacterium
581.T5,0.001408450704225,Letrozole,5,11,Bifidobacterium
582.T5,0.001481033701073,Letrozole,5,12,Bifidobacterium
583.T5,0.000907715582451,Letrozole,5,13,Bifidobacterium
584.T5,0.00341256766298,Letrozole,5,14,Bifidobacterium
585.T5,0.000457584462465,Letrozole,5,15,Bifidobacterium
586.T5,0.018108651911469,Letrozole,5,16,Bifidobacterium
570.T1,0.00233308172648,Placebo,1,1,Coprococcus
571.T1,0.005182289299027,Placebo,1,2,Coprococcus
572.T1,0.000153151083544,Placebo,1,3,Coprococcus
573.T1,0.000690986204103,Placebo,1,4,Coprococcus
574.T1,0.001322588582677,Placebo,1,5,Coprococcus
575.T1,0.002271498107085,Placebo,1,6,Coprococcus
576.T1,0.001433745849683,Placebo,1,7,Coprococcus
577.T1,0.001442203687234,Placebo,1,8,Coprococcus
578.T1,0.001103509159126,Letrozole,1,9,Coprococcus
580.T1,0.000371142261684,Letrozole,1,10,Coprococcus
581.T1,0.001911022779392,Letrozole,1,11,Coprococcus
582.T1,0.002391049354868,Letrozole,1,12,Coprococcus
583.T1,0.006003454042052,Letrozole,1,13,Coprococcus
584.T1,0.001374570446735,Letrozole,1,14,Coprococcus
585.T1,0.000773521149697,Letrozole,1,15,Coprococcus
586.T1,0.003726150392817,Letrozole,1,16,Coprococcus
570.T2,0.000983155272989,Placebo,2,1,Coprococcus
571.T2,0.00113310167699,Placebo,2,2,Coprococcus
572.T2,0.001772763900081,Placebo,2,3,Coprococcus
573.T2,0.001485014850149,Placebo,2,4,Coprococcus
574.T2,0.000402776056513,Placebo,2,5,Coprococcus
575.T2,0.001805543017062,Placebo,2,6,Coprococcus
576.T2,0.000586261928802,Placebo,2,7,Coprococcus
577.T2,0.002530207580295,Placebo,2,8,Coprococcus
578.T2,0.002830118418113,Letrozole,2,9,Coprococcus
580.T2,0.002078051618802,Letrozole,2,10,Coprococcus
581.T2,0.00086951796098,Letrozole,2,11,Coprococcus
582.T2,0.001268659872288,Letrozole,2,12,Coprococcus
583.T2,0.001387624127315,Letrozole,2,13,Coprococcus
584.T2,0.001336354656905,Letrozole,2,14,Coprococcus
585.T2,0.001493061654664,Letrozole,2,15,Coprococcus
586.T2,0.000516395558998,Letrozole,2,16,Coprococcus
570.T3,0.00094524830946,Placebo,3,1,Coprococcus
571.T3,0.002583038050137,Placebo,3,2,Coprococcus
572.T3,0.001393866985265,Placebo,3,3,Coprococcus
573.T3,0.001152984582949,Placebo,3,4,Coprococcus
574.T3,0.001083550531525,Placebo,3,5,Coprococcus
575.T3,0.003160597879766,Placebo,3,6,Coprococcus
576.T3,0.001860721546466,Placebo,3,7,Coprococcus
577.T3,0.000268590284706,Placebo,3,8,Coprococcus
578.T3,0.004834791632273,Letrozole,3,9,Coprococcus
580.T3,0.000247058460208,Letrozole,3,10,Coprococcus
581.T3,0.002266946809687,Letrozole,3,11,Coprococcus
582.T3,0.002028260428639,Letrozole,3,12,Coprococcus
583.T3,0.00353095746428,Letrozole,3,13,Coprococcus
584.T3,0.000186095972351,Letrozole,3,14,Coprococcus
585.T3,0.001105852169682,Letrozole,3,15,Coprococcus
586.T3,0.001663171595922,Letrozole,3,16,Coprococcus
570.T4,0.004228329809725,Placebo,4,1,Coprococcus
571.T4,0.001821782178218,Placebo,4,2,Coprococcus
572.T4,0.003267017749171,Placebo,4,3,Coprococcus
573.T4,0.001294199214236,Placebo,4,4,Coprococcus
574.T4,0.002523752969121,Placebo,4,5,Coprococcus
575.T4,0.002051428844044,Placebo,4,6,Coprococcus
576.T4,0.00307733928511,Placebo,4,7,Coprococcus
577.T4,0.000774513347447,Placebo,4,8,Coprococcus
578.T4,0.00214254719028,Letrozole,4,9,Coprococcus
581.T4,0.002253184347266,Letrozole,4,11,Coprococcus
582.T4,0.003833239235729,Letrozole,4,12,Coprococcus
583.T4,0.001736066787511,Letrozole,4,13,Coprococcus
584.T4,0.000895113732098,Letrozole,4,14,Coprococcus
585.T4,0.001466156227091,Letrozole,4,15,Coprococcus
586.T4,0.001984446232234,Letrozole,4,16,Coprococcus
570.T5,0.00149859676848,Placebo,5,1,Coprococcus
571.T5,0.001321289578629,Placebo,5,2,Coprococcus
572.T5,0.003018258337407,Placebo,5,3,Coprococcus
573.T5,0.001138873550525,Placebo,5,4,Coprococcus
574.T5,0.001415056197946,Placebo,5,5,Coprococcus
575.T5,0.001328360496602,Placebo,5,6,Coprococcus
576.T5,0.001361510684899,Placebo,5,7,Coprococcus
577.T5,0.000606397493557,Placebo,5,8,Coprococcus
578.T5,0.001493930905696,Letrozole,5,9,Coprococcus
580.T5,0.001557117916293,Letrozole,5,10,Coprococcus
581.T5,0.000988912196584,Letrozole,5,11,Coprococcus
582.T5,0.002025086897386,Letrozole,5,12,Coprococcus
583.T5,0.000695915279879,Letrozole,5,13,Coprococcus
584.T5,0.001082607672394,Letrozole,5,14,Coprococcus
585.T5,0.001601545618629,Letrozole,5,15,Coprococcus
586.T5,0.001076883838241,Letrozole,5,16,Coprococcus
570.T1,0.008783366499691,Placebo,1,1,Allobaculum
571.T1,0.003212413249689,Placebo,1,2,Allobaculum
572.T1,0.004160604436276,Placebo,1,3,Allobaculum
573.T1,0.031022897853177,Placebo,1,4,Allobaculum
574.T1,0.004952017716535,Placebo,1,5,Allobaculum
575.T1,0.012087614926988,Placebo,1,6,Allobaculum
576.T1,0.000264111077573,Placebo,1,7,Allobaculum
577.T1,0.000504771290532,Placebo,1,8,Allobaculum
578.T1,0.020790112557934,Letrozole,1,9,Allobaculum
580.T1,0.010391983327148,Letrozole,1,10,Allobaculum
581.T1,0.009707995719309,Letrozole,1,11,Allobaculum
582.T1,0.008819814129748,Letrozole,1,12,Allobaculum
583.T1,0.002659064119082,Letrozole,1,13,Allobaculum
584.T1,0.005308685863254,Letrozole,1,14,Allobaculum
585.T1,0.009037983959614,Letrozole,1,15,Allobaculum
586.T1,0.000628507295174,Letrozole,1,16,Allobaculum
570.T2,0.012682703021564,Placebo,2,1,Allobaculum
571.T2,0.004230246260764,Placebo,2,2,Allobaculum
572.T2,0.046091861402095,Placebo,2,3,Allobaculum
573.T2,0.021330213302133,Placebo,2,4,Allobaculum
574.T2,0.014128144751518,Placebo,2,5,Allobaculum
575.T2,0.010246456621829,Placebo,2,6,Allobaculum
576.T2,0.000814252678891,Placebo,2,7,Allobaculum
577.T2,0.000361458225756,Placebo,2,8,Allobaculum
578.T2,0.009309600059581,Letrozole,2,9,Allobaculum
580.T2,0.000748098582769,Letrozole,2,10,Allobaculum
581.T2,0.000380414107929,Letrozole,2,11,Allobaculum
582.T2,0.001818412483613,Letrozole,2,12,Allobaculum
583.T2,0.004423051905815,Letrozole,2,13,Allobaculum
584.T2,0.015164720237058,Letrozole,2,14,Allobaculum
585.T2,0.001668715966977,Letrozole,2,15,Allobaculum
586.T2,0.016954987520441,Letrozole,2,16,Allobaculum
570.T3,0.007537749339538,Placebo,3,1,Allobaculum
571.T3,0.011689902970494,Placebo,3,2,Allobaculum
572.T3,0.007566706491438,Placebo,3,3,Allobaculum
573.T3,0.007214389247595,Placebo,3,4,Allobaculum
574.T3,0.016458254019387,Placebo,3,5,Allobaculum
575.T3,0.001415684466978,Placebo,3,6,Allobaculum
576.T3,0.000482409289825,Placebo,3,7,Allobaculum
577.T3,0.000805770854117,Placebo,3,8,Allobaculum
578.T3,0.002382019291998,Letrozole,3,9,Allobaculum
580.T3,0.02365584756493,Letrozole,3,10,Allobaculum
581.T3,0.001492867411257,Letrozole,3,11,Allobaculum
582.T3,0.001757825704821,Letrozole,3,12,Allobaculum
583.T3,0.002668746920677,Letrozole,3,13,Allobaculum
584.T3,0.001541938056626,Letrozole,3,14,Allobaculum
585.T3,0.000796213562171,Letrozole,3,15,Allobaculum
586.T3,0.000723118085183,Letrozole,3,16,Allobaculum
570.T4,0.002114164904863,Placebo,4,1,Allobaculum
571.T4,0.002772277227723,Placebo,4,2,Allobaculum
572.T4,0.010142383460113,Placebo,4,3,Allobaculum
573.T4,0.01742546799168,Placebo,4,4,Allobaculum
574.T4,0.003303147268409,Placebo,4,5,Allobaculum
575.T4,0.005486379466629,Placebo,4,6,Allobaculum
576.T4,0.000642521389199,Placebo,4,7,Allobaculum
577.T4,0.000516342231631,Placebo,4,8,Allobaculum
578.T4,0.00216966804079,Letrozole,4,9,Allobaculum
581.T4,0.004552352048558,Letrozole,4,11,Allobaculum
582.T4,0.003833239235729,Letrozole,4,12,Allobaculum
583.T4,0.002272205060124,Letrozole,4,13,Allobaculum
584.T4,0.000421229991575,Letrozole,4,14,Allobaculum
585.T4,0.004113382748228,Letrozole,4,15,Allobaculum
586.T4,0.001233574684902,Letrozole,4,16,Allobaculum
570.T5,0.003133429606823,Placebo,5,1,Allobaculum
571.T5,0.005885744486619,Placebo,5,2,Allobaculum
572.T5,0.007885731289987,Placebo,5,3,Allobaculum
573.T5,0.010180839315296,Placebo,5,4,Allobaculum
574.T5,0.002486455890677,Placebo,5,5,Allobaculum
575.T5,0.007357073519644,Placebo,5,6,Allobaculum
576.T5,0.001331912626532,Placebo,5,7,Allobaculum
577.T5,0.000581130931325,Placebo,5,8,Allobaculum
578.T5,0.000809212573918,Letrozole,5,9,Allobaculum
580.T5,0.010640305761336,Letrozole,5,10,Allobaculum
581.T5,0.002906802517231,Letrozole,5,11,Allobaculum
582.T5,0.029590448843887,Letrozole,5,12,Allobaculum
583.T5,0.006202723146747,Letrozole,5,13,Allobaculum
584.T5,0.000847258178395,Letrozole,5,14,Allobaculum
585.T5,0.000533848539543,Letrozole,5,15,Allobaculum
586.T5,0.001530308612237,Letrozole,5,16,Allobaculum
570.T1,0.004940643656076,Placebo,1,1,Ruminococcus
571.T1,0.008546231475589,Placebo,1,2,Ruminococcus
572.T1,0.00158256119662,Placebo,1,3,Ruminococcus
573.T1,0.004741594986776,Placebo,1,4,Ruminococcus
574.T1,0.005444143700787,Placebo,1,5,Ruminococcus
575.T1,0.010248783126014,Placebo,1,6,Ruminococcus
576.T1,0.003810745547842,Placebo,1,7,Ruminococcus
577.T1,0.003485325577482,Placebo,1,8,Ruminococcus
578.T1,0.003089825645553,Letrozole,1,9,Ruminococcus
580.T1,0.001712964284695,Letrozole,1,10,Ruminococcus
581.T1,0.003898486469959,Letrozole,1,11,Ruminococcus
582.T1,0.003564016962916,Letrozole,1,12,Ruminococcus
583.T1,0.005427780366786,Letrozole,1,13,Ruminococcus
584.T1,0.001919658727337,Letrozole,1,14,Ruminococcus
585.T1,0.002727679843667,Letrozole,1,15,Ruminococcus
586.T1,0.01324354657688,Letrozole,1,16,Ruminococcus
570.T2,0.002490660024907,Placebo,2,1,Ruminococcus
571.T2,0.007629551291736,Placebo,2,2,Ruminococcus
572.T2,0.011173784582326,Placebo,2,3,Ruminococcus
573.T2,0.006030060300603,Placebo,2,4,Ruminococcus
574.T2,0.001735035320362,Placebo,2,5,Ruminococcus
575.T2,0.027489392434775,Placebo,2,6,Ruminococcus
576.T2,0.008435657753314,Placebo,2,7,Ruminococcus
577.T2,0.006764432510586,Placebo,2,8,Ruminococcus
578.T2,0.0062188128398,Letrozole,2,9,Ruminococcus
580.T2,0.004114542205228,Letrozole,2,10,Ruminococcus
581.T2,0.005217107765882,Letrozole,2,11,Ruminococcus
582.T2,0.004820907514695,Letrozole,2,12,Ruminococcus
583.T2,0.001647803651186,Letrozole,2,13,Ruminococcus
584.T2,0.004531985358201,Letrozole,2,14,Ruminococcus
585.T2,0.004742666432461,Letrozole,2,15,Ruminococcus
586.T2,0.00568035114898,Letrozole,2,16,Ruminococcus
570.T3,0.006374366804818,Placebo,3,1,Ruminococcus
571.T3,0.023379805940988,Placebo,3,2,Ruminococcus
572.T3,0.006106464887827,Placebo,3,3,Ruminococcus
573.T3,0.010343918829885,Placebo,3,4,Ruminococcus
574.T3,0.00339707734208,Placebo,3,5,Ruminococcus
575.T3,0.025087245670639,Placebo,3,6,Ruminococcus
576.T3,0.010165052892733,Placebo,3,7,Ruminococcus
577.T3,0.002302202440335,Placebo,3,8,Ruminococcus
578.T3,0.010990306832386,Letrozole,3,9,Ruminococcus
580.T3,0.001080880763411,Letrozole,3,10,Ruminococcus
581.T3,0.005086807475395,Letrozole,3,11,Ruminococcus
582.T3,0.004428368602529,Letrozole,3,12,Ruminococcus
583.T3,0.017613729676466,Letrozole,3,13,Ruminococcus
584.T3,0.000770969028313,Letrozole,3,14,Ruminococcus
585.T3,0.00389259963728,Letrozole,3,15,Ruminococcus
586.T3,0.020898112661798,Letrozole,3,16,Ruminococcus
570.T4,0,Placebo,4,1,Ruminococcus
571.T4,0.021042904290429,Placebo,4,2,Ruminococcus
572.T4,0.024331968012483,Placebo,4,3,Ruminococcus
573.T4,0.010446036514906,Placebo,4,4,Ruminococcus
574.T4,0.011839370546318,Placebo,4,5,Ruminococcus
575.T4,0.017985783121034,Placebo,4,6,Ruminococcus
576.T4,0.010855229785939,Placebo,4,7,Ruminococcus
577.T4,0.012392213559147,Placebo,4,8,Ruminococcus
578.T4,0.008895638967238,Letrozole,4,9,Ruminococcus
581.T4,0.003034901365706,Letrozole,4,11,Ruminococcus
582.T4,0.013609485038481,Letrozole,4,12,Ruminococcus
583.T4,0.017207485511502,Letrozole,4,13,Ruminococcus
584.T4,0.004264953664701,Letrozole,4,14,Ruminococcus
585.T4,0.003624664005865,Letrozole,4,15,Ruminococcus
586.T4,0.014534727809064,Letrozole,4,16,Ruminococcus
570.T5,0.00643034249748,Placebo,5,1,Ruminococcus
571.T5,0.009585355306779,Placebo,5,2,Ruminococcus
572.T5,0.029353625098306,Placebo,5,3,Ruminococcus
573.T5,0.008627829928216,Placebo,5,4,Ruminococcus
574.T5,0.00503355704698,Placebo,5,5,Ruminococcus
575.T5,0.010115976089511,Placebo,5,6,Ruminococcus
576.T5,0.010596104895519,Placebo,5,7,Ruminococcus
577.T5,0.012734347364698,Placebo,5,8,Ruminococcus
578.T5,0.002832244008715,Letrozole,5,9,Ruminococcus
580.T5,0.002288491483037,Letrozole,5,10,Ruminococcus
581.T5,0.008870242732994,Letrozole,5,11,Ruminococcus
582.T5,0.011455342300136,Letrozole,5,12,Ruminococcus
583.T5,0.002874432677761,Letrozole,5,13,Ruminococcus
584.T5,0.003812661802777,Letrozole,5,14,Ruminococcus
585.T5,0.00416910288024,Letrozole,5,15,Ruminococcus
586.T5,0.003825771530592,Letrozole,5,16,Ruminococcus
570.T1,0.406813971042337,Placebo,1,1,S24-7
571.T1,0.220959481164955,Placebo,1,2,S24-7
572.T1,0.614008219108154,Placebo,1,3,S24-7
